Место;Координаты;Год;Что измеряем; Значение
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;pH;8,3
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Кислород;9,78
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Сульфаты;43,1
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Хлориды;11,5
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Сумма ионов (минерализация) , мг/л;250
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Общая жесткость, ммоль/л;3,63
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Азот нитритный, мг/л;0,023
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Азот нитратный, мг/л;1,4
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;ВПК 5, мг/л;1,22
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Нефтепродукты, мг/л;0,01
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Температура воды, град.;15,6
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Взвешенные вещества, мг/л;9,8
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Цветность, град.;4
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;pH;8,3
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Кислород;10,6
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Сульфаты;38
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Хлориды;10,4
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Сумма ионов (минерализация) , мг/л;253
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Общая жесткость, ммоль/л;3,62
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Азот нитритный, мг/л;0,019
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Азот нитратный, мг/л;1,85
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;ВПК 5, мг/л;1,41
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2015;Нефтепродукты, мг/л;0,01
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Температура воды, град.;17
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Взвешенные вещества, мг/л;39,4
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Цветность, град.;5
